spend_id,date,spend_description,decision_log_id,currency,amount,exchange_rate,USD_equivalent,tx_fee,from_address,to_address,tx_reference,comment
1,2021-10-21,Dtavarez Q4 2021 funding,9,BTC,0.31660061,52076.95,16487.59,0.00003226,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qg7x6tcgtgg7hxsgzk5y0yarpdpzr95m30ehv5c,29311a0f06cf12e15fb9ce5ff6fb553feb959b66330570a58116297183c05312,
2,2021-10-21,Defistaker Q3 2021 funding,4,BTC,0.06332012,52076.95,3297.51,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1q3aglydyzqnrwmq0nsmx2a83uajy9wk6ve79cqp,29311a0f06cf12e15fb9ce5ff6fb553feb959b66330570a58116297183c05312,
3,2021-10-21,Jankie1800 Q3 2021 funding,5,BTC,0.06332012,52076.95,3297.51,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qsq0u0ap4y7qc989kdrervnryn79fug6efx8atl,29311a0f06cf12e15fb9ce5ff6fb553feb959b66330570a58116297183c05312,
4,2021-10-21,Community miners purchase ,3,BTC,0.96524454,52076.95,50266.99,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,3AKM7YBd2ibzroQoK8yzZvqHnMXNAaUKHn,29311a0f06cf12e15fb9ce5ff6fb553feb959b66330570a58116297183c05312,
5,2021-12-22,BTC-GRN conversion,8,BTC,0.5,51512.84,25756.42,0.00002543,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,3AKM7YBd2ibzroQoK8yzZvqHnMXNAaUKHn,ee27a3fd3b97c9bf8c63e09d507269a8305fad835275e71baad80e426631e954,
6,2021-12-22, Jankie1800 Q4 2021 funding,11,BTC,0.06445053,51512.84,3320.03,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qsq0u0ap4y7qc989kdrervnryn79fug6efx8atl,ee27a3fd3b97c9bf8c63e09d507269a8305fad835275e71baad80e426631e954,
7,2021-12-22,Scilio milestone 1,6,BTC,0.25312564,51512.84,13039.22,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qs209nl42cc8dczluv5a8sraee9cakwap76zpxs,ee27a3fd3b97c9bf8c63e09d507269a8305fad835275e71baad80e426631e954,
8,2022-02-27,-,-,BTC,0.04550658,39193,1.783.58 ,0.00001476,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,36viE4mLHYAjfpQ3WBKaQRPUuuCTGeHKJW,fdeecf30e8d91ffd85ac6280553b9f54d83931a6d187f1cecfaa7f6b57cbb65c,
9,2022-02-27,@StakerVali Dec-Feb 2021/22 funding,12,BTC,0.07620487,39193,2986.77,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1q3aglydyzqnrwmq0nsmx2a83uajy9wk6ve79cqp,fdeecf30e8d91ffd85ac6280553b9f54d83931a6d187f1cecfaa7f6b57cbb65c,
10,2022-02-27,@davidtavarez Feb-Apr 2022 funding,14,BTC,0.38102434,39193,14933.87,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qmvxk92q47c7dmpeyur3nlqpu023ftfa89a8j6d,fdeecf30e8d91ffd85ac6280553b9f54d83931a6d187f1cecfaa7f6b57cbb65c,
11,2022-05-17,@jankie Mar-May 2022 funding,15,BTC,0.07206201,29308,2112.14,0.00005196 ,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qsq0u0ap4y7qc989kdrervnryn79fug6efx8atl,8924cf40cd10467b00c7b1766c3574e7577b37c15d5cd2c7220e3a83c1e07215,
12,2022-05-17,@cekickafa Mar-May 2022 funding,16,BTC,0.07206201,29308,2112.14,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qex9mpc5kr0v66vt78hpq9pzlqhqwkfnux0nj0n,8924cf40cd10467b00c7b1766c3574e7577b37c15d5cd2c7220e3a83c1e07215,
13,2022-05-17,@davidtavarez May-July 2022 funding,18,BTC,0.37420369,29308,10967.91,,bc1qmdhmgmhd6j89225hzdh7dxqgmen3y2q0g4vgpez0tw9tkp4ae39qsqvuyl,bc1qu7kyat0gsrnfez6tm338z0fl6lgh9hy9c6zq9r,8924cf40cd10467b00c7b1766c3574e7577b37c15d5cd2c7220e3a83c1e07215
